ts,crawl_done,index_done
2025-05-07T23:23:00.961607,0,0
2025-05-07T23:23:01.662057,0,0
2025-05-07T23:23:02.961900,0,0
2025-05-07T23:23:03.664341,0,0
2025-05-07T23:23:04.964152,0,0
2025-05-07T23:23:05.665932,0,0
2025-05-07T23:23:06.967429,0,0
2025-05-07T23:23:07.667934,0,0
2025-05-07T23:23:08.969168,0,0
2025-05-07T23:23:09.669506,0,0
2025-05-07T23:23:10.971172,0,0
2025-05-07T23:23:11.671236,0,0
2025-05-07T23:23:12.973561,0,0
2025-05-07T23:23:13.674147,0,0
2025-05-07T23:23:14.976230,0,0
2025-05-07T23:23:15.676591,0,0
2025-05-07T23:23:16.978233,0,0
2025-05-07T23:23:17.677598,0,0
2025-05-07T23:23:18.980348,0,0
2025-05-07T23:23:19.679930,0,0
2025-05-07T23:23:20.982829,0,0
2025-05-07T23:23:21.682211,0,0
2025-05-07T23:23:22.984854,0,0
2025-05-07T23:23:23.685461,0,0
2025-05-07T23:23:24.987853,0,0
2025-05-07T23:23:25.688125,0,0
2025-05-07T23:23:26.989838,0,0
2025-05-07T23:23:27.690154,0,0
2025-05-07T23:23:28.992903,0,0
2025-05-07T23:23:29.692633,0,0
2025-05-07T23:23:30.994996,0,0
2025-05-07T23:23:31.694094,0,0
2025-05-07T23:23:32.994923,0,0
2025-05-07T23:23:33.697915,0,0
2025-05-07T23:23:34.996992,0,0
2025-05-07T23:23:35.700427,0,0
2025-05-07T23:23:36.999709,0,0
2025-05-07T23:23:37.703470,0,0
2025-05-07T23:23:39.002174,0,0
2025-05-07T23:23:39.707263,0,0
2025-05-07T23:23:41.004937,0,0
2025-05-07T23:23:41.710270,0,0
2025-05-07T23:23:43.006848,0,0
2025-05-07T23:23:43.713159,0,0
2025-05-07T23:23:45.008410,0,0
2025-05-07T23:23:45.715102,0,0
2025-05-07T23:23:47.011028,0,0
2025-05-07T23:23:47.717446,0,0
2025-05-07T23:23:49.013869,0,0
2025-05-07T23:23:49.720413,0,0
2025-05-07T23:23:51.016592,0,0
2025-05-07T23:23:51.723170,0,0
2025-05-07T23:23:53.018417,0,0
2025-05-07T23:23:53.725446,0,0
2025-05-07T23:23:55.021171,0,0
2025-05-07T23:23:55.728444,0,0
2025-05-07T23:23:57.023549,0,0
2025-05-07T23:23:57.730842,0,0
2025-05-07T23:23:59.025633,0,0
2025-05-07T23:23:59.734134,0,0
2025-05-07T23:24:01.028671,0,0
2025-05-07T23:24:01.734685,0,0
2025-05-07T23:24:03.028234,0,0
2025-05-07T23:24:03.737269,0,0
2025-05-07T23:24:05.030773,0,0
2025-05-07T23:24:05.739481,0,0
2025-05-07T23:24:07.033049,0,0
2025-05-07T23:24:07.742876,0,0
2025-05-07T23:24:09.035624,0,0
2025-05-07T23:24:09.745716,0,0
2025-05-07T23:24:11.037511,0,0
2025-05-07T23:24:11.749312,0,0
2025-05-07T23:24:13.040439,0,0
2025-05-07T23:24:13.751310,0,0
2025-05-07T23:24:15.042185,0,0
2025-05-07T23:24:15.753459,0,0
2025-05-07T23:24:17.044479,0,0
2025-05-07T23:24:17.757102,0,0
2025-05-07T23:24:19.047350,0,0
2025-05-07T23:24:19.759889,0,0
2025-05-07T23:24:21.050472,0,0
2025-05-07T23:24:21.762760,0,0
2025-05-07T23:24:23.052360,0,0
2025-05-07T23:24:23.765227,0,0
2025-05-07T23:24:25.054961,0,0
2025-05-07T23:24:25.767171,0,0
2025-05-07T23:24:27.057048,0,0
2025-05-07T23:24:27.769811,0,0
2025-05-07T23:24:29.060105,0,0
2025-05-07T23:24:29.771812,0,0
2025-05-07T23:24:31.061629,0,0
2025-05-07T23:24:31.772745,0,0
2025-05-07T23:24:33.062834,0,0
2025-05-07T23:24:33.775676,0,0
2025-05-07T23:24:35.064066,0,0
2025-05-07T23:24:35.777939,0,0
2025-05-07T23:24:37.066061,0,0
2025-05-07T23:24:37.780999,0,0
2025-05-07T23:24:39.068070,0,0
2025-05-07T23:24:39.784227,0,0
2025-05-07T23:24:41.070230,0,0
2025-05-07T23:24:41.786810,0,0
2025-05-07T23:24:43.072319,0,0
2025-05-07T23:24:43.789962,0,0
2025-05-07T23:24:45.074413,0,0
2025-05-07T23:24:45.792255,0,0
2025-05-07T23:24:47.077928,0,0
2025-05-07T23:24:47.795264,0,0
2025-05-07T23:24:49.081684,0,0
2025-05-07T23:24:49.797889,0,0
2025-05-07T23:24:51.085136,0,0
2025-05-07T23:24:51.800501,0,0
2025-05-07T23:24:53.086543,0,0
2025-05-07T23:24:53.802971,0,0
2025-05-07T23:24:55.089592,0,0
2025-05-07T23:24:55.805820,0,0
2025-05-07T23:24:57.092911,0,0
2025-05-07T23:24:57.808837,0,0
2025-05-07T23:24:59.096469,0,0
2025-05-07T23:24:59.811797,0,0
2025-05-07T23:25:01.100015,0,0
2025-05-07T23:25:01.812171,0,0
2025-05-07T23:25:03.101420,0,0
2025-05-07T23:25:03.814950,0,0
2025-05-07T23:25:05.104365,0,0
2025-05-07T23:25:05.818057,0,0
2025-05-07T23:25:07.108376,0,0
2025-05-07T23:25:07.820761,0,0
2025-05-07T23:25:09.110929,0,0
2025-05-07T23:25:09.824017,0,0
2025-05-07T23:25:11.113327,0,0
2025-05-07T23:25:11.826740,0,0
2025-05-07T23:25:13.115986,0,0
2025-05-07T23:25:13.829225,0,0
2025-05-07T23:25:15.118895,0,0
2025-05-07T23:25:15.831828,0,0
2025-05-07T23:25:17.122657,0,0
2025-05-07T23:25:17.834866,0,0
2025-05-07T23:25:19.126187,0,0
2025-05-07T23:25:19.838775,0,0
2025-05-07T23:25:21.129485,0,0
2025-05-07T23:25:21.841514,0,0
